4,4,12,8,10,6,14,9,10,10
3,7,1,0,3,3,0,0,3,6
8,3,8,6,5,3,5,8,1,10
5,5,6,6,5,7,16,13,19,16
0,7,6,10,6,0,13,5,7,6
0,0,3,3,10,0,1,0,0,3
0,26,23,24,27,37,21,0,24,35
3,5,0,7,4,4,2,3,0,5
36,31,34,33,35,30,41,31,39,35
28,16,23,23,23,24,30,27,20,25
25,25,28,27,23,20,31,27,35,29
52,54,0,45,46,51,42,40,55,48
0,8,0,11,6,2,1,7,5,2
42,40,26,34,30,40,35,43,32,40
36,40,41,30,36,52,38,48,36,36
10,15,14,12,13,14,10,16,9,10
9,11,1,2,9,13,6,10,7,10
15,11,13,13,10,8,10,9,13,16
19,15,22,15,12,23,20,25,23,27
6,2,4,6,4,6,3,4,7,5
5,3,9,6,5,7,8,7,12,5
9,8,13,11,12,11,12,13,10,10
3,4,1,6,2,2,2,1,5,8
3,3,3,4,10,0,10,6,0,3
0,2,2,3,0,1,0,9,0,1
20,16,1,12,2,16,18,16,14,14
12,0,0,0,1,11,0,15,11,12
2,0,4,4,5,4,0,5,0,5
7,6,3,1,3,1,5,3,6,4
52,50,60,66,55,64,52,57,62,58
60,67,55,64,59,64,62,60,53,50
9,7,12,8,7,9,8,4,8,10
17,11,13,13,11,19,16,14,14,18
84,86,84,87,89,86,87,88,88,89
28,31,38,39,34,27,34,30,36,36
